JobTitle	NumDaysPosted	TimeFrame	TodayDate	CompanyName	JobLocation	LowSalaryRange	UpperSalaryRange	SalaryPeriod(per)	CompanyRating	JobSummary	JobUrl
Data Analyst	30	jours	22-02-2021	OCUS	Paris (75)					"5+ years experience mining data as a data analyst.
Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts that…"	https://fr.indeed.com/rc/clk?jk=4f1ab14136fc9d02&fccid=09e12974662898fb&vjs=3
Data Analyst H/F	30	jours	22-02-2021	Stockly	Paris 2e (75)	45000 € 	 50000 € 			"Develop and maintain SQL dashboards, to monitor data and analyse performance.
Stockly is a retail-tech company that targets to solve the problem of out-of-stock…"	https://fr.indeed.com/rc/clk?jk=035866c5b4c5a61c&fccid=df6948c9b8da6236&vjs=3
Head of Data Offic	30	jours	22-02-2021	BU Global Energy Management	Courbevoie (92)					"Ensures that identified data roles include data objectives in the use cases they intervene in.
Ensures that data roles are identified and nominated in use cases…"	https://fr.indeed.com/rc/clk?jk=2af95d8c1a6d5636&fccid=3c43349a97cfd43a&vjs=3
Consultant Data scienc	30	jours	22-02-2021	Astrakhan	Paris 12e (75)	55000 € 	 64000 € 			"Consultant data science ou similaire: 3 ans (Souhaité).
Nous recherchons un(e) Consultant(e)Senior Data Science qui dispose d’un savoir-faire solide sur une ou…"	https://fr.indeed.com/rc/clk?jk=226ab665cbef3259&fccid=a1e3f54f00122ead&vjs=3
Dev web - Data Scraping Analyst	30	jours	22-02-2021	MiTrust	Puteaux (92)	15000 € 	 18000 € 			"Mitrust est une jeune startup franco allemande qui vise à remettre la confiance au cœur de la vie numérique.
Tu cherches un CDD ou un CDI?"	https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9Popqtx5W0sXdhE0EBXn1dIdTU5gI_fOOKLKKm894A8lUUArFxRYj8TuW8BvkGFHuM18u0flS4M0GSa9D3UtqTiClGSbt7-6MiR8dInhVkYa7kLL8yam82qAe7iNlId8Vs7uZJbSevUO2skTPRa7r3od7owOz2fmfUM8l1tiTObqMy5PK-cm1HiiJxr_8TL64666YOOxq7D_cdFXe4IPwI1KyAhAEIL-g4awBUg9tuyOnksqw19YCyXAgIppXRVD_1Z3G5-V_Mx1yGeOMR1e_7IScG6Nz55SHuYGCUrPIBXorUbCFM5tAc30Q-QEtROfLcN8kATXeacclUkwXf_j335aigJH6dJZVMfKOAJ6G9ztA2MxYPx_HAUTnAQnOsYQ6OEVAuyla7rvcsnrpMRZn9hST5WpZb-xfXO6hYMwO6eyxFNwKPUxqjR4F7K5Cr1_IRf38exNtGw==&p=0&fvj=1&vjs=3
DATA ANALYST - STATISTICIEN H/F	30	jours	22-02-2021	LSA Courtage	Rueil-Malmaison (92)	30000 € 	 32000 € 			"Data analyst - statisticien h/f ou similaire: 1 an (Souhaité).
Le groupe LSA est un groupe de sociétés de courtage d’assurance dont la plus importante, LSA…"	https://fr.indeed.com/rc/clk?jk=035866c5b4c5a61c&fccid=df6948c9b8da6236&vjs=3
Data Analyst - Business Intelligence H/F	30	jours	22-02-2021	BCA Expertise	Asnières-sur-Seine (92)	40000 € 	 48000 € 		3.7	La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients.	https://fr.indeed.com/rc/clk?jk=2af95d8c1a6d5636&fccid=3c43349a97cfd43a&vjs=3
[CDI] Data Scientist/Analyst H/F	30	jours	22-02-2021	Lincoln	Boulogne-Billancourt (92)					"Envie de rejoindre Lincoln pour expérimenter des solutions innovantes en data science et intelligence artificielle ?
Ce que l’on vous propose."	https://fr.indeed.com/rc/clk?jk=226ab665cbef3259&fccid=a1e3f54f00122ead&vjs=3
Data Analyst H/F	30	jours	22-02-2021	Ogilvy	Paris (75)				4.1	Le réseau Ogilvy est le 1er réseau international de communication (20 000 collaborateurs présents dans plus de 100 pays à travers le monde).	https://fr.indeed.com/rc/clk?jk=226ab665cbef3259&fccid=a1e3f54f00122ead&vjs=3
Data Engineer	30	jours	22-02-2021	FOVEA PROCESS	Paris 1er (75)					"Tu souhaites collaborer sur des projets data ayant des problématiques variées ( Data integration, ESB, Big Data, IOT...).
Notre expertise depuis plus de 15 ans."	https://fr.indeed.com/rc/clk?jk=226ab665cbef3259&fccid=a1e3f54f00122ead&vjs=3
