wine_id,grape_id,grapes_share
1135916,19,100.0
1188738,10,0.0
1188738,2,0.0
1188738,3,0.0
1188738,42,0.0
97275,10,35.0
97275,2,59.0
97275,3,6.0
97275,42,0.0
14517,10,0.0
14517,3,0.0
25474,3,100.0
1161268,10,60.0
1161268,2,37.0
1161268,3,3.0
61744,3,0.0
74359,17,100.0
13150,10,0.0
13150,2,0.0
13150,42,0.0
5795486,108,0.0
5795486,190,0.0
66104,12,100.0
10926,1,100.0
95444,10,0.0
95444,2,0.0
24056,1,44.0
24056,2,56.0
4948,10,0.0
4948,2,0.0
7769,20,100.0
92492,10,77.0
92492,2,7.0
92492,3,14.0
92492,9,2.0
82831,10,41.0
82831,2,45.0
82831,42,14.0
81907,10,100.0
10922,1,100.0
61744,2,100.0
1127929,10,40.0
1127929,2,50.0
1127929,3,5.0
1127929,42,5.0
43204,10,50.0
43204,2,47.0
43204,42,3.0
1135406,1,0.0
1135406,22,0.0
1135406,41,0.0
1135406,8,0.0
1163958,15,100.0
1984519,10,53.0
1984519,2,47.0
79876,10,29.0
79876,2,61.0
79876,3,7.0
79876,42,3.0
61094,12,100.0
1182334,2,100.0
1606893,106,100.0
75871,1,0.0
75871,22,0.0
75871,75,0.0
75871,8,0.0
1165001,16,100.0
1135843,2,100.0
1300916,3,100.0
1437492,3,100.0
81864,10,0.0
81864,2,0.0
81864,3,0.0
81864,42,0.0
98195,10,35.0
98195,3,10.0
98195,42,5.0
736114,2,100.0
1136029,43,75.0
1136029,45,20.0
1136029,46,5.0
63134,10,43.0
63134,2,52.0
63134,3,3.0
63134,42,2.0
1129305,10,20.0
1129305,2,80.0
79266,2,42.0
79266,3,3.0
1198159,254,100.0
36374,1,100.0
77753,22,90.0
77753,8,10.0
9961,2,100.0
1725833,2,100.0
22551,12,100.0
2065395,118,100.0
97275,2,100.0
97042,10,0.0
97042,2,0.0
92492,10,70.0
92492,2,20.0
92492,3,9.0
92492,9,1.0
91020,10,44.0
91020,3,2.0
91020,42,4.0
1099398,10,0.0
1099398,2,0.0
1099398,42,0.0
88009,16,100.0
2162093,135,0.0
2162093,142,0.0
1172856,282,100.0
768733,10,100.0
15098,34,100.0
1101213,10,100.0
50984,10,100.0
94966,10,41.0
94966,2,57.0
94966,42,7.0
75821,1,0.0
75821,10,0.0
75821,16,0.0
75821,2,0.0
84066,43,0.0
84066,45,0.0
84066,46,0.0
2738318,19,90.0
3286550,10,100.0
1162245,10,4.0
1162245,2,71.0
1162245,42,25.0
1168554,1,50.0
1168554,2,0.0
1168554,22,10.0
1168554,8,40.0
12858,5,100.0
2532733,62,100.0
13632,10,26.0
13632,2,70.0
13632,3,4.0
1168676,2,100.0
1145360,10,100.0
7663,1739,100.0
7291,5,100.0
23767,10,0.0
23767,2,0.0
1175037,10,55.0
1175037,2,40.0
1175037,3,5.0
77434,1,10.0
77434,142,85.0
77434,75,5.0
86362,10,30.0
86362,2,60.0
86362,3,4.0
86362,42,6.0
1166231,10,50.0
1166231,2,40.0
1166231,42,10.0
1129305,3,0.0
1251,1,0.0
1251,2,0.0
768734,10,0.0
768734,2,0.0
768734,3,0.0
1108705,16,100.0
28254,12,100.0
1162093,1,45.0
1162093,8,55.0
1153630,10,27.0
1153630,2,66.0
1153630,9,7.0
1127496,10,0.0
1127496,2,0.0
1127496,3,0.0
1127496,51,0.0
21937,100,100.0
1126941,17,100.0
1671306,17,30.0
1671306,18,70.0
80464,10,37.0
80464,2,51.0
80464,3,8.0
80464,42,4.0
74346,10,0.0
74346,2,0.0
2991,5,100.0
2112249,10,85.0
2112249,3,15.0
768734,10,85.0
768734,3,15.0
98195,2,100.0
1207034,10,0.0
1207034,2,0.0
1207034,3,0.0
1129620,10,30.0
1129620,2,65.0
1129620,3,5.0
1126809,10,0.0
1126809,2,0.0
1099372,42,0.0
17656,10,100.0
1557446,10,30.0
1557446,2,64.0
1557446,3,3.0
1557446,42,3.0
81907,10,58.0
