id,score_normalized,reviewed_at,vintage_id
2833552,85,2010-06-01T00:00:00Z,1424582
3489257,97,2019-03-14T00:00:00Z,1424582
1377240,90,2012-09-27T00:00:00Z,1178371
1705480,88,2006-06-30T00:00:00Z,1178371
2833771,90,2005-06-01T00:00:00Z,1178371
2838532,90,2007-03-01T00:00:00Z,1178371
3016077,93,2007-10-01T00:00:00Z,1178371
1369023,89,2012-04-08T00:00:00Z,1333407
2662941,90,2012-04-26T00:00:00Z,1333407
2530260,95,2017-12-01T00:00:00Z,1787087
3321496,94,2018-12-01T00:00:00Z,1787087
3495454,95,2019-06-28T00:00:00Z,1787087
3507195,98,2020-06-15T00:00:00Z,1787087
3507196,95,2015-01-01T00:00:00Z,1787087
3507197,98,2015-01-01T00:00:00Z,1787087
3507198,97,2020-06-15T00:00:00Z,1787087
3507199,95,2015-01-01T00:00:00Z,1787087
3507200,97,2020-06-15T00:00:00Z,1787087
3507201,97,2015-01-01T00:00:00Z,1787087
3507216,97,2020-06-16T00:00:00Z,1787087
3507223,95,2020-06-17T00:00:00Z,1787087
3507224,96,2020-06-17T00:00:00Z,1787087
1366050,91,2011-04-20T00:00:00Z,1476029
1762028,92,2011-05-02T00:00:00Z,1476029
2501497,92,2013-03-01T00:00:00Z,1476029
2505682,92,2011-06-01T00:00:00Z,1476029
2542082,94,2013-11-01T00:00:00Z,1476029
2542083,94,2012-02-01T00:00:00Z,1476029
2542084,93,2011-04-01T00:00:00Z,1476029
2774700,93,2017-10-01T00:00:00Z,1476029
3164941,91,2013-09-11T00:00:00Z,1476029
3177951,89,2015-04-19T00:00:00Z,1476029
226963,93,2009-04-29T00:00:00Z,1165160
1369860,92,2009-08-31T00:00:00Z,1165160
1945962,94,2012-03-21T00:00:00Z,1165160
2537077,90,2011-03-01T00:00:00Z,1165160
2765678,92,2015-10-01T00:00:00Z,1165160
2839850,88,2009-06-01T00:00:00Z,1165160
2576859,91,2016-08-01T00:00:00Z,6062660
2666216,89,2017-08-31T00:00:00Z,6062660
1712626,95,2007-04-30T00:00:00Z,82872
2498601,90,2009-03-01T00:00:00Z,82872
2839594,88,2007-06-01T00:00:00Z,82872
1371312,90,2012-02-06T00:00:00Z,1401556
1735311,94,2010-04-27T00:00:00Z,1401556
1944706,92,2014-03-18T00:00:00Z,1401556
2506187,88,2012-03-01T00:00:00Z,1401556
2833442,86,2010-06-01T00:00:00Z,1401556
608189,100,2010-04-27T00:00:00Z,1347152
1871323,98,2017-02-28T00:00:00Z,1347152
1944704,94,2014-03-14T00:00:00Z,1347152
2506235,99,2012-03-01T00:00:00Z,1347152
2542839,89,2017-03-01T00:00:00Z,1347152
2542840,94,2016-06-01T00:00:00Z,1347152
2542841,95,2014-02-01T00:00:00Z,1347152
2542842,97,2013-09-01T00:00:00Z,1347152
