,Symbol,Stock Name,Country,Market Price,Day Price Range,PE Ratio,marketCap,Dividend Yield,52 Week Low Price Range Change,52 Week High Price Range Change,3 Month Average Daily Volume,52 Week Price Range,priceEpsCurrentYear
22,0LJN.L,,gb_market,25.65,25.39 - 25.66,6.59383,5361927168,0.04437524,0.010240261,-0.00038972055,,25.39 - 25.66,
23,D2JA.F,,dr_market,4.55,4.55 - 4.55,,3922764288,,0.13155939,-0.099544786,21,4.021 - 5.053,
24,ORL.F,,dr_market,2.92,2.86 - 2.92,31.739132,5032503296,0.0,0.4174758,-0.35682818,512,2.06 - 4.54,
0,CRC.L,,gb_market,182.5,176.8 - 176.8,31.465517,52107032,0.00024657536,0.30357143,-0.21955182,5605,140.0 - 233.84,
1,WUC1.F,,dr_market,17.33,16.2 - 17.33,,2062009984,,7.8193383,-0.27123636,2665,1.965 - 23.78,
2,FXI.F,,dr_market,15.686,15.356 - 15.768,18.876053,7835627520,,2.0774965,-0.032922287,58,5.097 - 16.22,12.752845
3,0KGB.L,,gb_market,31.51,31.51 - 31.52,,,0.03224806,0.0,-0.00031726615,,31.51 - 31.52,
4,E2Z.F,,dr_market,11.7,11.61 - 11.7,30.87071,2112622208,0.017682927,0.39246908,-0.060192876,71,8.402341 - 12.449363,
5,DRXGF,,us_market,5.45,5.45 - 5.45,,2270845952,,2.0277777,-0.025044784,57,1.8 - 5.59,
6,0LD9.L,,gb_market,29.79,29.79 - 29.79,,6804185088,0.01938924,0.0,0.0,,29.79 - 29.79,
7,QRT.L,,gb_market,73.5,72.0 - 72.0,7.1359224,30053488,0.0013469388,0.8375,-0.045454547,3493,40.0 - 77.0,
8,PNXGF,Phoenix Group,us_market,9.950425,9.950425 - 9.950425,,9942793216,,0.8703806,-0.0319751,106,5.32 - 10.2791,
9,BX7.F,,dr_market,17.24,17.24 - 17.24,13.100304,5718404608,0.08486563,0.13757837,-0.2852405,377,15.155 - 24.12,
10,0HOB.L,,gb_market,19.588,19.548 - 19.838,19.16634,3944690176,0.05341551,0.0020461944,-0.012602077,,19.548 - 19.838,
11,WX4.F,,dr_market,30.475,30.0 - 30.475,43.785923,7132186112,0.088800535,1.3965871,-0.26192784,230,12.716 - 41.29,
12,ALMMF,,us_market,0.3722,0.3722 - 0.3722,28.63077,9816402944,,1.0677778,-0.15409088,1525,0.18 - 0.44,
13,PNT.F,,dr_market,44.8,44.4 - 44.8,20.944366,7780370944,0.01681416,1.1747572,-0.08196721,36,20.6 - 48.8,
14,TATYF,Tate & Lyle,us_market,10.392982,10.392982 - 10.392982,16.549334,4879702528,0.036755573,0.6762874,0.0,641,6.2 - 10.392982,
15,IT6.F,,dr_market,82.5,82.5 - 82.5,,3403133184,,1.1484374,-0.057142857,26,38.4 - 87.5,
